나이,연봉,재산,예금,자동차배기량,자녀수,신청금액,신청기간월,학력점수,결혼점수,회사규모점수,대출분류점수,승인여부
60,128558572,208296113,77931182,3500,2,140883551,12,8,5,2,5,0
50,140556173,324263513,127892,0,1,103604064,60,6,7,3,4,1
36,67565155,154716235,93332176,0,2,167194726,84,6,5,3,4,1
64,61346444,303101126,97313336,2000,4,149501970,84,6,7,4,4,1
29,117425380,261879248,172626183,3000,0,153148911,48,8,7,5,5,1
42,76044612,12240132,89705121,0,2,86577524,48,6,7,5,5,0
60,31381326,395351451,72711258,0,1,167625346,84,6,7,3,6,0
40,56764146,5948916,198949410,0,2,23474665,84,6,7,7,5,1
44,74415697,146577971,114242664,2500,1,91661708,120,8,5,10,8,1
32,58027135,2962032,94522641,2000,2,198949741,48,3,7,4,5,0
32,63186724,188100706,99187166,1000,0,189882336,48,2,7,10,4,1
45,58190867,31580264,161836259,0,1,21031454,24,3,5,9,4,1
57,25394891,456755483,68135273,1600,2,116732189,36,6,5,3,6,0
61,102822311,207839647,77832092,0,0,66551869,24,6,4,4,8,1
45,97648014,229747887,151174671,2000,0,147052144,84,3,4,5,5,1
24,104939854,174925118,14596747,1600,1,148478549,36,10,5,4,7,0
43,45000286,313753077,173033831,2000,0,5018187,24,6,7,5,6,1
23,58435090,392204058,86040539,2500,2,169934740,60,3,7,7,5,1
45,100550070,324073371,116258595,1600,2,48598628,36,8,4,9,4,1
65,97951583,374103559,151495231,1000,0,193351789,48,8,4,7,4,1
51,85822940,452986831,53210384,2000,2,181559105,36,2,7,3,7,0
59,65553722,431773265,178062841,0,2,42178514,48,6,5,3,6,1
23,138681030,337029226,195844994,2500,1,129085407,60,6,7,2,7,1
42,64170131,107318981,98854872,0,0,62788504,120,3,7,5,5,1
54,79230490,318851425,187387473,2500,4,25081906,84,8,4,5,5,1
33,108154798,253041547,225724,0,1,175430453,120,6,7,9,5,1
43,90592786,358609615,178847565,0,0,40261162,36,2,7,3,7,1
65,65095176,416465824,62209063,1000,2,87088674,12,8,7,3,5,0
46,76633822,371360748,62299084,3500,2,185216879,48,10,5,3,8,1
48,123282506,423280584,45617772,3500,2,19694096,36,2,7,5,6,1
63,56156790,31933186,63402780,0,4,112363976,24,6,5,10,5,0
49,38493181,15810019,42696916,0,0,116568152,120,6,7,7,6,0
37,60711216,129250283,181173821,1000,2,153798008,36,6,7,4,8,0
36,130439448,450333042,179804745,1000,4,166290519,48,6,4,5,5,1
65,31568662,411829625,20442262,2000,1,87708039,12,6,4,4,5,0
